Product Name,Size,Milk,Whip,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugar (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Caffeine (mg),Type
Caffè Mocha,Venti®,Whole,Whip,591 mL,490,23,13,0.5,65,180,55,5,45,17,25%,0%,45%,40%,185,Espresso
Caffè Mocha,Venti®,Soy,No Whip,591 mL,330,9,2.5,0,0,140,46,6,34,15,15%,0%,45%,60%,185,Espresso
Caffè Mocha,Venti®,Soy,Whip,591 mL,400,16,7,0.2,25,150,48,6,35,15,25%,0%,45%,60%,185,Espresso
Caffè Mocha,Venti®,Coconut,No Whip,591 mL,320,12,10,0,0,170,48,5,38,5,0%,0%,2%,40%,185,Espresso
Caffè Mocha,Venti®,Coconut,Whip,591 mL,390,19,15,0.2,25,180,50,5,40,5,8%,0%,4%,40%,185,Espresso
Iced Caffè Mocha,Tall,Nonfat,No Whip,354 mL,150,2,1,0,5,65,27,3,22,7,8%,0%,15%,25%,95,Espresso
Iced Caffè Mocha,Tall,Nonfat,Whip,354 mL,240,10,6,0.2,30,75,30,3,23,7,15%,0%,20%,25%,95,Espresso
Iced Caffè Mocha,Tall,2%,No Whip,354 mL,180,4.5,3,0.1,10,70,27,3,21,7,8%,0%,15%,25%,95,Espresso
Iced Caffè Mocha,Tall,2%,Whip,354 mL,260,12,8,0.4,40,80,29,3,23,7,15%,0%,20%,25%,95,Espresso
Iced Caffè Mocha,Tall,Whole,No Whip,354 mL,190,6,3.5,0.1,15,65,27,3,21,7,6%,0%,15%,25%,95,Espresso
Iced Caffè Mocha,Tall,Whole,Whip,354 mL,270,14,9,0.4,45,75,29,3,23,7,15%,0%,15%,25%,95,Espresso
Iced Caffè Mocha,Tall,Soy,No Whip,354 mL,160,4,1.5,0,0,60,25,3,18,6,6%,0%,15%,30%,95,Espresso
Iced Caffè Mocha,Tall,Soy,Whip,354 mL,240,12,6,0.2,30,65,27,3,20,7,15%,0%,20%,30%,95,Espresso
Iced Caffè Mocha,Tall,Coconut,No Whip,354 mL,150,5,4,0,0,65,25,3,19,3,0%,0%,2%,25%,95,Espresso
Iced Caffè Mocha,Tall,Coconut,Whip,354 mL,240,13,9,0.2,30,70,27,3,22,3,10%,0%,2%,25%,95,Espresso
Iced Caffè Mocha,Grande,Nonfat,No Whip,473 mL,200,2.5,1.5,0,5,80,36,4,28,9,10%,0%,20%,35%,175,Espresso
Iced Caffè Mocha,Grande,Nonfat,Whip,473 mL,320,14,8,0.3,45,90,40,4,30,10,25%,0%,25%,35%,175,Espresso
Iced Caffè Mocha,Grande,2%,No Whip,473 mL,230,6,3.5,0.1,15,90,36,4,28,9,10%,0%,20%,35%,175,Espresso
Iced Caffè Mocha,Grande,2%,Whip,473 mL,350,17,11,0.5,55,100,39,4,30,10,20%,0%,20%,35%,175,Espresso
Iced Caffè Mocha,Grande,Whole,No Whip,473 mL,250,8,4.5,0.2,15,80,36,4,28,9,8%,0%,20%,35%,175,Espresso
Iced Caffè Mocha,Grande,Whole,Whip,473 mL,360,19,12,0.5,60,95,39,4,30,9,20%,0%,20%,35%,175,Espresso
Iced Caffè Mocha,Grande,Soy,No Whip,473 mL,210,5,2,0,0,75,33,5,24,8,6%,0%,20%,40%,175,Espresso
Iced Caffè Mocha,Grande,Soy,Whip,473 mL,330,16,9,0.3,40,85,37,5,26,9,20%,0%,25%,40%,175,Espresso
Iced Caffè Mocha,Grande,Coconut,No Whip,473 mL,210,6,5,0,0,80,34,4,26,4,0%,0%,2%,35%,175,Espresso
Iced Caffè Mocha,Grande,Coconut,Whip,473 mL,320,18,12,0.3,40,95,37,4,29,4,15%,0%,4%,35%,175,Espresso
Iced Caffè Mocha,Venti®,Nonfat,No Whip,709 mL,300,3.5,2.5,0,5,110,53,6,41,13,15%,0%,30%,50%,265,Espresso
Iced Caffè Mocha,Venti®,Nonfat,Whip,709 mL,410,15,9,0.3,45,120,57,6,43,14,25%,0%,30%,50%,265,Espresso
Iced Caffè Mocha,Venti®,2%,No Whip,709 mL,340,8,5,0.2,20,120,53,6,41,13,15%,0%,30%,50%,265,Espresso
Iced Caffè Mocha,Venti®,2%,Whip,709 mL,450,19,12,0.5,60,130,56,6,43,13,25%,2%,30%,50%,265,Espresso
Iced Caffè Mocha,Venti®,Whole,No Whip,709 mL,360,11,6,0.2,25,110,53,6,41,12,10%,0%,25%,50%,265,Espresso
Iced Caffè Mocha,Venti®,Whole,Whip,709 mL,470,22,13,0.5,65,125,56,6,43,13,25%,0%,30%,50%,265,Espresso
Iced Caffè Mocha,Venti®,Soy,No Whip,709 mL,310,7,2.5,0,0,100,49,7,35,12,10%,0%,30%,60%,265,Espresso
Iced Caffè Mocha,Venti®,Soy,Whip,709 mL,430,18,10,0.3,40,110,53,7,37,12,20%,0%,30%,60%,265,Espresso
Iced Caffè Mocha,Venti®,Coconut,No Whip,709 mL,300,9,7,0,0,115,50,6,38,5,0%,0%,4%,50%,265,Espresso
Iced Caffè Mocha,Venti®,Coconut,Whip,709 mL,420,20,14,0.3,40,125,53,6,41,6,15%,0%,6%,50%,265,Espresso
Cappuccino,Short,Nonfat,N/A,236 mL,50,0.1,0.1,0,5,60,8,0,7,5,8%,0%,15%,0%,75,Espresso
